audio1-person,audio 1 - time,audio 1 - value,audio2-person,audio2-time,audio2-value,pressure1-person,pressure1-time,pressure1-value,pressure2-person,pressure2-time,pressure2-value,elevator1-person,elevator1-time,elevator1-value,elevator2-person,elevator2-time,elevator2-value
Jiacong Zhu-Audio,0.00000,3.56150,Xiaojia-Audio,0.33205,-6.20400,Fei - Pressure,0.00000,998.98270,Berj - Pressure,0.00000,1008.43650,Xijia Wang - Elevator (speed),0.14972,-1.25000,Guoliang Xu-Elevator(speed),0.14972,5.25930
Jiacong Zhu-Audio,0.20834,1.21440,Xiaojia-Audio,0.43743,-6.50600,Fei - Pressure,1.03650,998.97888,Berj - Pressure,1.01000,1008.44060,Xijia Wang - Elevator (speed),0.19961,-1.22800,Guoliang Xu-Elevator(speed),0.19963,1.36900
Jiacong Zhu-Audio,0.41668,1.93310,Xiaojia-Audio,0.54785,-6.49000,Fei - Pressure,2.07220,998.97507,Berj - Pressure,2.01000,1008.43650,Xijia Wang - Elevator (speed),0.24954,7.55170,Guoliang Xu-Elevator(speed),0.24953,5.89060
Jiacong Zhu-Audio,0.62502,2.62960,Xiaojia-Audio,0.65435,-6.34900,Fei - Pressure,3.10740,998.94470,Berj - Pressure,3.02000,1008.42020,Xijia Wang - Elevator (speed),0.29943,-4.51200,Guoliang Xu-Elevator(speed),0.29944,-3.89500
Jiacong Zhu-Audio,0.83336,2.34500,Xiaojia-Audio,0.76547,-6.39900,Fei - Pressure,4.14250,998.88474,Berj - Pressure,4.03000,1008.36660,Xijia Wang - Elevator (speed),0.34936,7.36490,Guoliang Xu-Elevator(speed),0.34935,-5.55300
Jiacong Zhu-Audio,1.04170,2.40620,Xiaojia-Audio,0.87136,-6.44900,Fei - Pressure,5.17870,998.86383,Berj - Pressure,4.37000,1008.30050,Xijia Wang - Elevator (speed),0.39926,6.66550,Guoliang Xu-Elevator(speed),0.39926,1.57660
Jiacong Zhu-Audio,1.25000,2.35030,Xiaojia-Audio,0.98172,-5.90000,Fei - Pressure,6.21460,998.86383,Berj - Pressure,5.45000,1008.28720,Xijia Wang - Elevator (speed),0.44918,1.28720,Guoliang Xu-Elevator(speed),0.44917,8.96880
Jiacong Zhu-Audio,1.45830,1.78670,Xiaojia-Audio,1.08830,-5.13600,Fei - Pressure,7.25100,998.89740,Berj - Pressure,6.52000,1008.21650,Xijia Wang - Elevator (speed),0.49908,1.55200,Guoliang Xu-Elevator(speed),0.49907,1.17110
Jiacong Zhu-Audio,1.66670,2.05320,Xiaojia-Audio,1.19580,-3.57900,Fei - Pressure,7.34030,998.89740,,,,Xijia Wang - Elevator (speed),0.54898,1.50190,Guoliang Xu-Elevator(speed),0.54898,-1.67900
Jiacong Zhu-Audio,1.87500,1.97820,Xiaojia-Audio,1.30520,-3.24900,,,,,,,Xijia Wang - Elevator (speed),0.59890,2.07780,Guoliang Xu-Elevator(speed),0.59889,1.94670
